Game,Team,spread_barttorvik,win_prob_barttorvik,projected_total_barttorvik,spread_drating,win_prob_drating,projected_total_drating,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya,spread_kenpom,win_prob_kenpom,projected_total_kenpom,spread_massey,win_prob_massey,projected_total_massey,Opening Moneyline,Moneyline Win Probability,Opening Spread,theoddsapi_total,Moneyline Edge,average_total
Abilene Christian vs Tarleton State,Abilene Christian,,,,,,,5.4,0.6859999999999999,128.2,,,,,,,,0.6859999999999999,,,,128.2
Abilene Christian vs Tarleton State,Tarleton State,,,,,,,-5.4,0.314,128.2,,,,,,,,0.314,,,,128.2
Abilene Christian vs UT Arlington,Abilene Christian,,,,,,,0.6,0.522,144.0,,,,,,,,0.522,,,,144.0
Abilene Christian vs UT Arlington,UT Arlington,,,,,,,-0.6,0.478,144.0,,,,,,,,0.478,,,,144.0
Air Force vs San Diego State,Air Force,,,,,,,-11.8,0.132,126.2,,,,,,,,0.132,,,,126.2
Air Force vs San Diego State,San Diego State,,,,,,,11.8,0.868,126.2,,,,,,,,0.868,,,,126.2
Air Force vs Utah State,Air Force,,,,,,,-12.9,0.111,140.4,,,,,,,,0.111,,,,140.4
Air Force vs Utah State,Utah State,,,,,,,12.9,0.889,140.4,,,,,,,,0.889,,,,140.4
Air Force vs Wyoming,Air Force,,,,,,,,,,,,,5.5,0.34,122.0,,0.34,,,,122.0
Air Force vs Wyoming,Wyoming,,,,,,,,,,,,,-5.5,0.66,122.0,,0.66,,,,122.0
Akron vs Miami (Ohio),Akron,,,,,,,3.5,0.62,152.3,,,,,,,,0.62,,,,152.3
Akron vs Miami (Ohio),Miami (Ohio),,,,,,,-3.5,0.38,152.3,,,,,,,,0.38,,,,152.3
Alabama A&M vs Prairie View,Alabama A&M,,,,,,,1.4,0.546,152.4,,,,,,,,0.546,,,,152.4
Alabama A&M vs Prairie View,Prairie View,,,,,,,-1.4,0.45399999999999996,152.4,,,,,,,,0.45399999999999996,,,,152.4
Alabama A&M vs Texas Southern,Alabama A&M,,,,,,,-6.0,0.305,142.8,,,,,,,,0.305,,,,142.8
Alabama A&M vs Texas Southern,Texas Southern,,,,,,,6.0,0.695,142.8,,,,,,,,0.695,,,,142.8
Alabama State vs Prairie View,Alabama State,,,,,,,6.7,0.725,153.1,,,,,,,,0.725,,,,153.1
Alabama State vs Prairie View,Prairie View,,,,,,,-6.7,0.275,153.1,,,,,,,,0.275,,,,153.1
Alabama State vs Texas Southern,Alabama State,,,,,,,1.3,0.5479999999999999,144.4,,,,,,,,0.5479999999999999,,,,144.4
Alabama State vs Texas Southern,Texas Southern,,,,,,,-1.3,0.452,144.4,,,,,,,,0.452,,,,144.4
Alabama vs Georgia,Alabama,,,,,,,13.1,0.8690000000000001,158.1,,,,,,,,0.8690000000000001,,,,158.1
Alabama vs Georgia,Georgia,,,,,,,-13.1,0.131,158.1,,,,,,,,0.131,,,,158.1
Alabama vs LSU,Alabama,,,,,,,20.9,0.9620000000000001,162.9,,,,,,,,0.9620000000000001,,,,162.9
Alabama vs LSU,LSU,,,,,,,-20.9,0.038,162.9,,,,,,,,0.038,,,,162.9
Alabama vs Vanderbilt,Alabama,-14.2,0.87,174.0,,,,15.7,0.9059999999999999,168.6,,,,-11.5,0.82,163.0,,0.87,,,,168.53333333333333
Alabama vs Vanderbilt,Vanderbilt,14.2,0.13,174.0,,,,-15.7,0.094,168.6,,,,11.5,0.18,163.0,,0.13,,,,168.53333333333333
Albany vs NJIT,Albany,,,,,,,11.6,0.852,138.4,,,,,,,,0.852,,,,138.4
